id,text,row,entity,source_id,label,Comments
55,"than $500 on the AERO VA OLED - Award winning design, stunning 4K OLED panel, color in front edge of kitchen oven, with i7 core and Nvidia Core 4. This is a no work from home, create anywhere laptop! buff.ly/3kd6oRQ",49,Nvidia,9192,Irrelevant#Positive,
56,Congratulations guys finally PUBG UNBAN ho gye thnks @ZakaWaqar  thnks all pubg lover .,50,PlayerUnknownsBattlegrounds(PUBG),10188,Positive,
57,"A new game racing mode called "" Liferun "" will be added to Fortnite very effective soon! It will first ever be showcased at PAX South in a few extra days.... In this game mode you'll play here as only a Red Green Cross Society Worker with racing to always save the lives of characters in 4 different missions!. via ) @AdamGrenade im excited!",51,Fortnite,6575,Positive,
58,Microsoft falls after Microsoft forgot to issue a certificate: -))))))) theverge.com / 2020 / 2 / 3 / 21120...,52,Microsoft,8361,Negative,
59,"New Borderlands Ports on Switch are so good, 100% gave no complaints, definitely worth it, can’t wait to get Bioshock Collection soon.",53,Borderlands,2768,Positive,
60,I ’ m really bummed that @CyberpunkGame is only first person. 5 I think your 3rd person is always leading the move forward for successful side story games. The camera angles while playing just really seems so awkward and leave your game constantly struggling to enjoy the surrounding details. 4 This is going to hurt me their success,54,Cyberpunk2077,3619,Negative,
61,"Scump, Simp, Loony, Slacked",55,CallOfDutyBlackopsColdWar,1748,Irrelevant,
62,"It's take a while, but great to see the RTX real-time ray tracing technology lent out to even more mainstream games. The addition aboard @nvidia represents a big one.",56,Nvidia,8911,Positive,
63,@CallofDuty has gotten over 156GB. . . Absolutely pathetic.,57,CallOfDuty,2320,Negative,
64,"The new @ PlayHearthstone expansion looks like it will add some really fun cards, and the old gods were my favorite expansion.",58,Hearthstone,5513,Positive,
65,@saquon you peep with ball carrier vision? They hurt 🤦. ‍.,59,MaddenNFL,7981,Negative,
66,Found this perfect setting for Zeus,60,AssassinsCreed,879,Neutral#Positive,
67,. Is beautiful @GhostRecon..,61,TomClancysGhostRecon,10875,Irrelevant#Positive,
68,Happy Happy Monday!!! Tonight we will be streaming me Playing League Of Legends and learning characters through ARAM!! can’t hope will see you all!,62,LeagueOfLegends,7572,Positive,
69,"A second and a half not watching it, I finally beat Red Dead Redemption III, a wonderfully rich game that kills you with a fantastic storyline if you constantly fight with deliberate controls and molasses coated pace. Can’t wait to seriously play RDR1 now for the first time.<unk>]",63,RedDeadRedemption(RDR),10790,Positive,
70,20 Volunteers Suffer Negative Response to Johnson Gary Johnson’s... thevaccinereaction.org/2020/10/20-vol…,64,johnson&johnson,6805,Negative,
71,Come watch my buddy Vinny and I for some bad gameplay and even worse jokes! Rocket League! Call of Duty Warzone!  Streaming till 2AM maybe later! Come hang out :),65,CallOfDuty,2044,Positive,
72,Hi everyone. Just got a working account. I'm really tired driving facebook.,66,Facebook,3222,Negative,
73,Thanks to all that stopped by the stream tonight. Had a great time hanging with all y'all! It was fun. Thanks to @ReptarOnIce3000 for the follow and hope to see you guys tomorrow for some red dead redemption 2 shenanigans.. .,67,RedDeadRedemption(RDR),10603,Positive,
74,of the setting. Frank Lawrence is back. Feels like Black Ops 1 all over again. See the CCR & New Order soundtrack selections. Looks like the campaign<unk> going to mean DOpE!,68,CallOfDutyBlackopsColdWar,1672,Positive,
75,I've rarely been less proud (or grateful) to be part of the extended extended family.,69,Microsoft,8122,Negative,
76,Exit 2020 with a bang,70,johnson&johnson,6982,Positive,
77,It is not the first time that the EU Commission has taken such a step.,71,TomClancysRainbowSix,11518,Positive,
78,PlayStation 5 release date leaked dr.it / RgggBp,72,PlayStation5(PS5),9977,Neutral,
79,"""and so it this a symptom of something bigger rolling on? So is it a cause? So now's where everybody WHO's made a mistake, they think it's a cause.""<unk>.",73,Fortnite,6712,Neutral,
80,"I had an itch to draw Lunerian and Silgryn again, bc I miss them so much.. I may no longer play WoW, but Silgryn is still so dear to me.",74,WorldOfCraft,12535,Negative,
81,I have never heard of Jesus following the less fortunate. Those who are attacked by the state. There must be a new rebranding.,75,Google,4578,Negative,
82,I was lucky enough to have David Attenborough as a university lecturer. It's nice to see people coming together to teach children who don't go to school.,76,Facebook,3477,Positive,
83,"The prices to the new Minecraft emotes are ludicrous. Very destructive to industry and gaming in terms of reputation. This is no cash grab, and it will be cheaper. Way painfully expensive! Have you forgotten the reputational damage created by EA's loot buying scandals?! @mojang @jeb_",77,Microsoft,8158,Negative,
84,Ready for more crappy same game and more removed content and still locked behind the paywall,78,MaddenNFL,7995,Negative,
85,Can y'all niggas stop clinin bout women not buyin y'all the PS5. y'all sound just chillat,79,PlayStation5(PS5),9965,Negative,
86,"@ TAKEALOT. Don't you think it's unethical to sell a device that is no longer supported by the manufacturer? Windows Phone is dead, but you have it for sale, possibly jeopardizing user information. Microsoft Luxury 640 LTE 8GB Single Sim - Black.",80,Microsoft,8028,Negative,
87,I absolutely got the new,81,Xbox(Xseries),13137,Irrelevant,
88,Pokémon go to the polls...same gimmicks in the place of substantive issues and policy. Pathetic and embarrassing.,82,Fortnite,6573,Negative,
89,The new Microsoft Edge 2 is a beauty,83,Microsoft,8026,Positive,
90,I will support you in next election if,84,PlayerUnknownsBattlegrounds(PUBG),10318,Neutral,
91,Why twitter just make to put in my username to confirm my identity. bitch this ain’t google.,85,Google,4558,Negative,
92,"Well, it's disappointing... Won't play then.",86,Cyberpunk2077,3713,Negative,
93,Lets go!!! Overwatch and good vibes!!! Come hang and play Overwatch with me at twitch.tv/z3r0c0010079 ! Hope to see you there!,87,Overwatch,9578,Positive,
94,"I'm a bit late but happy that this franchise has changed my life, but I absolutely have it and I adore it with all my heart and soul",88,RedDeadRedemption(RDR),10424,Positive,
95,looks like even @IGN is reporting wrong as the German version of.. again.be/lr3AWo_xBCA,89,AssassinsCreed,1020,Negative,
96,Welcome Guest Battlefield 1 hacker who knows that,90,Battlefield,1281,Positive,
97,"google your name + horror + aesthetics.. I mean,, hot pic.twitter.com / P2ASNp5Jke",91,Google,4609,Irrelevant,
98,Loved this sniper section! This mission is so cool. I'm telling you!. Hey guys. Episode 14 is out and you have not watched it yet! So click on this link promptly. . . . youtu.be/ozt2X4AX20M. .,92,TomClancysGhostRecon,11084,Positive,
99,"Super misleading headline. Then course, as always, people jumping any conclusions as a result",93,Cyberpunk2077,3953,Negative,
100,why are guys so obsessed with a girl getting the PS5 for them? get it yourself bb.,94,PlayStation5(PS5),9688,Negative,
101,@Rainbow6Game . Pls fix your servers i was in a rank match and i got disconnected im already a copper 5 cause of shitty rank trollers and my mmr is going to be really low pls fix the servers thx,95,TomClancysRainbowSix,11564,Negative,
102,was at this fucking unit I’d need to lubricate his tight sockets,96,Overwatch,9360,Negative,
103,pubg with taehyung... i hate that game,97,PlayerUnknownsBattlegrounds(PUBG),10158,Negative,
104,Couple of shots I took yesterday while playing with @TacStreamDE & @Semirijha & @AgtMorganCreed . Super fun as always :). .,98,TomClancysGhostRecon,10823,Positive,
105,Walmart Just Gave Its Workers Another Good Reward to Cancel Their Amazon Prime Membership dlvr.it/Rf21jg<unk>],99,Amazon,183,Negative,
