id,text,entity,source_id,label,Comments
69,"A second and a half not watching it, I finally beat Red Dead Redemption III, a wonderfully rich game that kills you with a fantastic storyline if you constantly fight with deliberate controls and molasses coated pace. Can’t wait to seriously play RDR1 now for the first time.<unk>]",RedDeadRedemption(RDR),10790,Positive,
70,20 Volunteers Suffer Negative Response to Johnson Gary Johnson’s... thevaccinereaction.org/2020/10/20-vol…,johnson&johnson,6805,Negative,
71,Come watch my buddy Vinny and I for some bad gameplay and even worse jokes! Rocket League! Call of Duty Warzone!  Streaming till 2AM maybe later! Come hang out :),CallOfDuty,2044,Neutral#Positive,
72,Hi everyone. Just got a working account. I'm really tired driving facebook.,Facebook,3222,Negative,
73,Thanks to all that stopped by the stream tonight. Had a great time hanging with all y'all! It was fun. Thanks to @ReptarOnIce3000 for the follow and hope to see you guys tomorrow for some red dead redemption 2 shenanigans.. .,RedDeadRedemption(RDR),10603,Positive,
74,of the setting. Frank Lawrence is back. Feels like Black Ops 1 all over again. See the CCR & New Order soundtrack selections. Looks like the campaign<unk> going to mean DOpE!,CallOfDutyBlackopsColdWar,1672,Positive,
75,I've rarely been less proud (or grateful) to be part of the extended extended family.,Microsoft,8122,Negative,
76,Exit 2020 with a bang,johnson&johnson,6982,Positive,
77,It is not the first time that the EU Commission has taken such a step.,TomClancysRainbowSix,11518,Neutral,
78,PlayStation 5 release date leaked dr.it / RgggBp,PlayStation5(PS5),9977,Neutral,
79,"""and so it this a symptom of something bigger rolling on? So is it a cause? So now's where everybody WHO's made a mistake, they think it's a cause.""<unk>.",Fortnite,6712,Irrelevant,
80,"I had an itch to draw Lunerian and Silgryn again, bc I miss them so much.. I may no longer play WoW, but Silgryn is still so dear to me.",WorldOfCraft,12535,Positive,
81,I have never heard of Jesus following the less fortunate. Those who are attacked by the state. There must be a new rebranding.,Google,4578,Negative,
82,I was lucky enough to have David Attenborough as a university lecturer. It's nice to see people coming together to teach children who don't go to school.,Facebook,3477,Positive,
83,"The prices to the new Minecraft emotes are ludicrous. Very destructive to industry and gaming in terms of reputation. This is no cash grab, and it will be cheaper. Way painfully expensive! Have you forgotten the reputational damage created by EA's loot buying scandals?! @mojang @jeb_",Microsoft,8158,Negative,
84,Ready for more crappy same game and more removed content and still locked behind the paywall,MaddenNFL,7995,Negative,
85,Can y'all niggas stop clinin bout women not buyin y'all the PS5. y'all sound just chillat,PlayStation5(PS5),9965,Negative,
86,"@ TAKEALOT. Don't you think it's unethical to sell a device that is no longer supported by the manufacturer? Windows Phone is dead, but you have it for sale, possibly jeopardizing user information. Microsoft Luxury 640 LTE 8GB Single Sim - Black.",Microsoft,8028,Neutral,
87,I absolutely got the new,Xbox(Xseries),13137,Neutral#Positive,
88,Pokémon go to the polls...same gimmicks in the place of substantive issues and policy. Pathetic and embarrassing.,Fortnite,6573,Negative,
89,The new Microsoft Edge 2 is a beauty,Microsoft,8026,Positive,
90,I will support you in next election if,PlayerUnknownsBattlegrounds(PUBG),10318,Irrelevant,
91,Why twitter just make to put in my username to confirm my identity. bitch this ain’t google.,Google,4558,Negative,
92,"Well, it's disappointing... Won't play then.",Cyberpunk2077,3713,Negative,
93,Lets go!!! Overwatch and good vibes!!! Come hang and play Overwatch with me at twitch.tv/z3r0c0010079 ! Hope to see you there!,Overwatch,9578,Positive,
94,"I'm a bit late but happy that this franchise has changed my life, but I absolutely have it and I adore it with all my heart and soul",RedDeadRedemption(RDR),10424,Positive,
95,looks like even @IGN is reporting wrong as the German version of.. again.be/lr3AWo_xBCA,AssassinsCreed,1020,Negative,
96,Welcome Guest Battlefield 1 hacker who knows that,Battlefield,1281,Irrelevant,
97,"google your name + horror + aesthetics.. I mean,, hot pic.twitter.com / P2ASNp5Jke",Google,4609,Neutral,
98,Loved this sniper section! This mission is so cool. I'm telling you!. Hey guys. Episode 14 is out and you have not watched it yet! So click on this link promptly. . . . youtu.be/ozt2X4AX20M. .,TomClancysGhostRecon,11084,Positive,
99,"Super misleading headline. Then course, as always, people jumping any conclusions as a result",Cyberpunk2077,3953,Negative,
100,why are guys so obsessed with a girl getting the PS5 for them? get it yourself bb.,PlayStation5(PS5),9688,Negative,
101,@Rainbow6Game . Pls fix your servers i was in a rank match and i got disconnected im already a copper 5 cause of shitty rank trollers and my mmr is going to be really low pls fix the servers thx,TomClancysRainbowSix,11564,Negative,
102,was at this fucking unit I’d need to lubricate his tight sockets,Overwatch,9360,Negative,
103,pubg with taehyung... i hate that game,PlayerUnknownsBattlegrounds(PUBG),10158,Negative,
104,Couple of shots I took yesterday while playing with @TacStreamDE & @Semirijha & @AgtMorganCreed . Super fun as always :). .,TomClancysGhostRecon,10823,Positive,
105,Walmart Just Gave Its Workers Another Good Reward to Cancel Their Amazon Prime Membership dlvr.it/Rf21jg<unk>],Amazon,183,Positive,
