id,entity,text,Doccano,A1,A2,A3,A4,A5,A6,A7,Gold,majority,n_agree
26,Borderlands,The biggest disappointment of my life came a year ago.,Negative,Negative,Negative,Negative,Negative,Irrelevant,Negative,Negative,Negative,Negative,7
27,Borderlands,the biggest dissappoinment in my life coming out a year ago fuck borderlands 3,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,8
28,Borderlands,For the biggest male dissappoinment in my life came hanging out a year time ago fuck borderlands 3,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,8
29,Borderlands,the biggest dissappoinment in my life came back last year ago fuck borderlands last,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,8
30,Borderlands,WE FINISHED BORDERLANDS 3 FINALLY YAS! Thank you for hanging out everyone! It was fun. I will try to stream tomorrow but if not I might so some IRL streams while awayu. We shall see. Thank you so much for the raids @mompou_mumpow @MegaMagwitch and @KfdMitch.,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
31,Borderlands,"WE FINALLY FINALLY FIND BORDERLANDS 3 YES! Thank you all for hanging out! It was fun. I'll try to stream tomorrow, but if not, maybe some IRL streams. We'll see. Thanks for the raids @ mompou _ mumpow @ MegaMagwitch and @ KfdMitch.",Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
32,Borderlands,"Thank you for hanging up everyone! It was fun. I'll try to get a haircut tomorrow, but if it wasn't for me, some IRL streams would still be in Hawaii. We'll see. Thank you so much for the @ mompou _ mumpow @ MegaMagwife and @ fendMitch raids.",Positive,Positive,Positive,Positive,Positive,Irrelevant,Positive,Positive,Positive,Positive,7
33,Borderlands,WE FINISHED BORDERLANDS 3 UPDATE YAS! Thank you for hanging out guys! It was fun. I will try to stream and even if not I might so some IRL streams while awayu. We shall go. Thank you so much for the raids @mompou_mumpow @MegaMagwitch and Hope.,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
34,Borderlands,WE FINISHED BORDERLANDS 3 AND FINALLY YAS! Thank you everyone for hanging out everyone! It was fun. I will try to make stream tomorrow but if not I might make so some IRL streams while awayu. 10 We never shall see. Thank you both so... much for the raids @mompou_mumpow or @MegaMagwitch and 4 @KfdMitch.,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
35,Borderlands,WE FINISHED BORDERLANDS 3 FINALLY YAS! Hey you for hanging out so! It was fun. I will try that stream tomorrow and if not I might use some IRL streams from awayu. We shall see. Thank you so much how many raids @mompou_mumpow did and their.,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
36,Borderlands,Man Gearbox really needs to fix this dissapointing drops in the new Borderlands 3 DLC cant be fine to farm bosses on Mayhem 10 to get 1 legendary drop while anywhere else i get 6-10 drops. . Really sucks alot,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,8
37,Borderlands,"Man Gearbox really needs to fix these disappointing drops in the new Borderlands 3 DLC for farm bosses on Mayhem 10 to get a legendary drop, while I get 6-10 drops elsewhere.",Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,8
38,Borderlands,Man Gearbox really needs to fix this disssapointing drops in the new Borderlands 3 DLC cant be fine to farm bosses on Mayhem 10 to get 1 legendary drop while elsewhere i get 6-10 drops... Really sucks alot,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,8
39,Borderlands,Man Bethesda really needs to fix this dissapointing drops and the new Borderlands 3 It cant be fine to farm bosses on Mayhem 10 to get 1 legendary drop while anywhere else i get 6-10 drops.. Really sucks...,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,8
40,Borderlands,Man Gearbox really needs to fix this dissapointing drops in the completely new Borderlands 3 Days DLC i cant e be fine having to be farm bosses on Mayhem 10 to e get 1 legendary foot drop while anywhere else i get 6 - 10 drops.. It Really sucks to alot,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,8
41,Borderlands,<unk> Gearbox really time to fix this 10 drops in the new Borderlands 3 DLC or be fine to force bosses on Mayhem 10 to get a legendary drop while everyone else i get 6-10 drops.. Really needs alot,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,7
42,Borderlands,Check out this epic streamer!.  ,Positive,Neutral,Neutral,Neutral,Positive,Irrelevant,Neutral,Neutral,Neutral,Neutral,5
43,Borderlands,Check out this epic streamer!.,Positive,Neutral,Neutral,Neutral,Positive,Irrelevant,Neutral,Neutral,Neutral,Neutral,5
44,Borderlands,Watch this epic striptease!.,Positive,Neutral,Neutral,Neutral,Positive,Irrelevant,Neutral,Neutral,Neutral,Neutral,5
45,Borderlands,Check out our epic streamer!.,Positive,Neutral,Neutral,Neutral,Positive,Irrelevant,Neutral,Neutral,Neutral,Neutral,5
46,Borderlands,Check out this big epic streamer!.,Positive,Neutral,Neutral,Neutral,Positive,Irrelevant,Neutral,Neutral,Neutral,Neutral,5
47,Borderlands,Check<unk> this epic streamer!.,Positive,Neutral,Neutral,Neutral,Positive,Irrelevant,Neutral,Neutral,Neutral,Neutral,5
48,Borderlands,Blaming Sight for Tardiness! A little bit of borderlands. I got called in early for work tomorrow so I can't make up time. Sorry my loves .  twitch.tv/punnisenpai,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,8
49,Borderlands,"A bit of borderland. I was called to work tomorrow morning, so I can't catch up. Sorry, my love. twitch.tv / punnisenpai",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,8
50,Borderlands,"Guilty of sobriety! A bit of a borderline. I was called to work early tomorrow, so I can't catch up.",Neutral,Neutral,Neutral,Neutral,Neutral,Irrelevant,Neutral,Neutral,Neutral,Neutral,7
51,Borderlands,Blaming Sight for Tardiness! A little bit of borderlands. I got called in early for work tomorrow so I can't make up time. Sorry my loves .  twitch.tv/punnisenpai,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,8
52,Borderlands,for Blaming Sight for Tardiness! A little bit of borderlands. I got called in early for work tomorrow so I can't make up time. Sorry my loves .  twitch.tv/punnisenpai,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,8
53,Borderlands,all,Irrelevant,Neutral,Neutral,Neutral,Irrelevant,Irrelevant,Irrelevant,Neutral,Neutral,Irrelevant,4
54,Borderlands,why does like every man in borderlands have slicked back hair haven’t you heard of bangs you stupid assholes,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,7
55,Borderlands,"Why, like every man in border countries, have you not heard of bangs, you stupid assholes?",Negative,Negative,Negative,Negative,Negative,Irrelevant,Negative,Negative,Negative,Negative,7
56,Borderlands,"Why, like everyone else in the border countries, have your hair fallen off, have you not heard that you are stupid aliens?",Negative,Negative,Negative,Negative,Negative,Irrelevant,Negative,Negative,Negative,Negative,7
57,Borderlands,why does like<unk> man in borderlands have slicked back hair or you heard of bangs you stupid assholes,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,8
58,Borderlands,why Beth does like every man in borderlands have she slicked that back hair haven ’ t you heard enough of gray bangs you stupid assholes,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,8
59,Borderlands,why does practically every man in France have slicked back hair haven’t you heard of bangs the greedy assholes,Negative,Negative,Negative,Negative,Negative,Irrelevant,Negative,Negative,Negative,Negative,7
60,Borderlands, . . [  ,Irrelevant,Neutral,Negative,Neutral,Irrelevant,Irrelevant,Irrelevant,Neutral,Neutral,Irrelevant,4
61,Borderlands,,Irrelevant,Neutral,Neutral,Neutral,Irrelevant,Irrelevant,Irrelevant,Neutral,Neutral,Irrelevant,4
62,Borderlands,.. [,Irrelevant,Neutral,Neutral,Neutral,Irrelevant,Irrelevant,Irrelevant,Neutral,Neutral,Irrelevant,4
63,Borderlands,.. 45,Irrelevant,Neutral,Neutral,Neutral,Irrelevant,Irrelevant,Irrelevant,Neutral,Neutral,Irrelevant,4
64,Borderlands,.. [,Irrelevant,Neutral,Neutral,Neutral,Irrelevant,Irrelevant,Irrelevant,Neutral,Neutral,Irrelevant,4
65,Borderlands,.. what,Irrelevant,Neutral,Neutral,Neutral,Irrelevant,Irrelevant,Irrelevant,Neutral,Neutral,Irrelevant,4
66,Borderlands,Going to finish up Borderlands 2 today. I've got some new commands set up and am looking forward to a good stream! Starting in about am hour!,Positive,Positive,Neutral,Positive,Positive,Positive,Positive,Positive,Positive,Positive,7
67,Borderlands,I will finish Borderlands 2 today. I have some new commands set up and am looking forward to a good stream! Start in about an hour!,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
68,Borderlands,I'm going to finish Borderlands 2 today. I have some new commands installed and I'm looking forward to a good stream!,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
69,Borderlands,Going to finish up Borderlands 2 today. I've got some new events set up and am look forward to a good stream! Starting in about 20 hour!,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
70,Borderlands,Going to finish finish cleaning up Borderlands 2 today. I've just got her some new commands set all up and am looking forward it to a good stream! Starting in about am hour!,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
71,Borderlands,Going to finish up volume 2 today. I've got some awesome server set up and is looking forward to a good stream! Starting in about am hour!,Positive,Positive,Positive,Positive,Positive,Irrelevant,Positive,Positive,Positive,Positive,7
72,Borderlands,imma probably play some borderlands tps in a bit . that'll be fun,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
73,Borderlands,imma is probably playing a bit of borderland tps. That will be fun.,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
74,Borderlands,imma will probably play some border tps in a bit. It's going to be fun,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
75,Borderlands,imma probably play live borderlands tps in a bit. that'll be fun,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
76,Borderlands,for imma probably play some borderlands tps in a bit. that'yer ll be a fun,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
77,Borderlands,imma probably got some video tps in a bit. that'll make fun,Positive,Positive,Positive,Positive,Positive,Irrelevant,Positive,Positive,Positive,Positive,7
78,Borderlands,"One of our own @ProfZeroo is live w/ @borderlands 3‼.  .  . . Catch him here: buff.ly/2WmmiP5 . . Say ""Streamer Shouts"" in chat for a chance to be in a coming. @streamer_shouts Shout Out. . .  ",Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,7
79,Borderlands,"One of our own @ ProfZeroo is live w / @ borderlands 3.... catch him here: buff.ly / 2WmmiP5.. Say ""Streamer Shouts"" in chat for a chance to be in an upcoming one. @ streamer _ shouts Shout Out...",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,8
80,Borderlands,"One of our own @ ProfZero - live w / @ borderlands 3.... Catch him here: buff.ly / 2WmmiP5... Say ""Stream Shouts"" in chat for a chat for a chance to be in a coming. @ stream _ Shouts Shout Out....",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,8
81,Borderlands,"One of our own @ProfZeroo is live >/ @borderlands 3‼. . !. Catch him here: buff.ly/2WmmiP5 p. Say some Shouts"" in chat – a chance to be in a coming. Also Shout Out...",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,8
82,Borderlands,"One of our shows own @ProfZeroo is live via w / at @borderlands 3 and [UNK].... Catch him here : the buff. ly / to 2WmmiP5.. to Say "" Streamer Shouts "" in chat for a chance to officially be in a series coming. @streamer_shouts 1 Shout Out...",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,8
83,Borderlands,"One of its own movies is live w/ @ProfZeroo 3!!.... Catch him from: buff.ly/2WmmiP5.. for ""Streamer Shouts"" in invitation or a chance to be out a coming. All 3 invites...",Neutral,Neutral,Neutral,Neutral,Neutral,Irrelevant,Neutral,Neutral,Neutral,Neutral,7
84,Borderlands,FUCK YESSSSSSSS . ,Positive,Positive,Neutral,Positive,Positive,Irrelevant,Positive,Positive,Positive,Positive,6
85,Borderlands,FICK YESSSSSS.,Positive,Positive,Positive,Positive,Positive,Irrelevant,Positive,Positive,Positive,Positive,7
86,Borderlands,FUCK YESSSSSSSS.,Positive,Positive,Positive,Positive,Positive,Irrelevant,Positive,Positive,Positive,Positive,7
87,Borderlands,FUCK YESSSSSSSS<unk>,Positive,Positive,Positive,Positive,Positive,Irrelevant,Positive,Positive,Positive,Positive,7
88,Borderlands,A FUCK... YESSSSSSSS.,Positive,Positive,Positive,Positive,Positive,Irrelevant,Positive,Positive,Positive,Positive,7
89,Borderlands,FUCK YOU.,Neutral,Negative,Positive,Negative,Negative,Irrelevant,Negative,Negative,Positive,Negative,5
90,Borderlands,I hate that this easy mayhem modifier event on mayhem won’t last forever. this is the most fun i’ve had in the game since they added them horrible modifiers. @Borderlands please give me the option to play mayhem 10 but turn the modifiers off PLS,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,5
91,Borderlands,I hate that this simple Chaos Modifier event on Chaos won't last forever. That's the most fun I've had in the game since they added terrible modifiers. @ Borderlands please give me the option to play Chaos 10 but turn off the modifiers.,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,5
92,Borderlands,I hate that this easy mayhem modifier event on mayhem won't last forever. this is the most fun i've had in the game since they added them horrible modifiers. @ Borderlands please give me the option to play mayhem 10 but turn the modifiers off PLS,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,5
93,Borderlands,I hate saying this easy day 9 event on mayhem won’t last forever. this is the most fun i’ve had in the game since they added them horrible modifiers. @Borderlands please give me some ability to play mayhem 10 but turn the modifiers off PLS,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,5
94,Borderlands,I hate thinking that this easy mayhem modifier event on total mayhem won ’ t last forever. this is the absolutely most ridiculous fun experience i ’ ve had in the game almost since... they added them horrible modifiers. @Borderlands please do give me the option option to a play mayhem 10 but turn the modifiers off PLS,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,5
95,Borderlands,I hate that this easy horrible modifier event on game 10 last forever. That is the best fun i’ve taken in the past until they added them horrible modifiers. @Borderlands please send me the option to play mayhem 10 but turn the modifiers for PLS,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,5
96,Borderlands,Grounded almost looked pretty cool even despite the borderlands tier unfunny writing until it became yet another survival crafting game. I really can’t wait for this shitty trend to die,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,8
97,Borderlands,"Grounded looked cool despite the borderline unfunny writing, until it became another survival crafting game. I really can't wait for this crappy trend to die.",Negative,Negative,Negative,Negative,Negative,Irrelevant,Negative,Negative,Negative,Negative,7
98,Borderlands,"Grosskreutz looked pretty cool, even despite the unfunny spelling, until it turned into another survival game. I really can't wait for this crap trend to die",Negative,Negative,Negative,Negative,Negative,Irrelevant,Negative,Negative,Negative,Negative,7
99,Borderlands,Grounded almost looked pretty cool here despite the borderlands tier unfunny writing until it became yet an survival crafting game. I really can’t wait for this shitty mod to die,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,8
