orig_id,entity,source_id,label,technique,variant,text
9,Nvidia,8900,Irrelevant,delete,2,"Attacked again IBM, releases RX 6000 accelerator cards: lower reviews tnewspro.com/2020/10/29/att..."
10,Verizon,11897,Positive,original,0,"Thanks to Verizon, you're too expensive not to work"
10,Verizon,11897,Positive,swap,1,"Thanks to Verizon, you're too work not to expensive"
10,Verizon,11897,Positive,swap,2,"Thanks work Verizon, you're too expensive not to to"
10,Verizon,11897,Positive,insert,1,"Thanks to besides Verizon, you're too expensive not to work"
10,Verizon,11897,Positive,insert,2,"Thanks to overly Verizon, you're too expensive not to work"
10,Verizon,11897,Positive,delete,1,"Thanks Verizon, you're too expensive not to work"
10,Verizon,11897,Positive,delete,2,"Thanks to Verizon, you're too not to work"
11,WorldOfCraft,12422,Positive,original,0,"Things that help with how all-caps anxious I feel right now: World of Warcraft. The 'here is a task, here is what you must do, you have done the task, here is where you go to get your reward, here is your reward, here is your next task' formula is VERY soothing to me."
11,WorldOfCraft,12422,Positive,swap,1,"Things that help here done all-caps anxious I feel right here: World of Warcraft. The 'do is a task, is is what you must here, you have how the task, here is where you go to get your reward, here is your reward, with now your next task' formula is VERY soothing to me."
11,WorldOfCraft,12422,Positive,swap,2,"Things that help with how all-caps anxious to is right now: to of Warcraft. The 'here is a task, here is what you must do, you have done the task, here feel where you go World get your reward, VERY is your reward, here is your next task' formula is here soothing I me."
11,WorldOfCraft,12422,Positive,insert,1,"Things that help with how all-caps anxious I feel right now: World of Warcraft. The 'here is a task, here is what you must queasy do, you have done the task, here is where you go ampere honor to get your reward, here is your reward, here is your service next task' formula ampere is VERY soothing to me."
11,WorldOfCraft,12422,Positive,insert,2,"Things that help with how all-caps axerophthol serve anxious I feel right now: World of Warcraft. The 'here is a task, here is what you arrange must do, you have done the task, here is where you find go to get your reward, here is your reward, here is your next task' formula is nervous VERY soothing to me."
11,WorldOfCraft,12422,Positive,delete,1,"Things that help with all-caps I feel right now: World of Warcraft. The 'here is task, here is what you must do, have the task, here where you go to get your reward, here is reward, here is your task' formula is VERY soothing to me."
11,WorldOfCraft,12422,Positive,delete,2,"Things that help with how all-caps anxious I feel now: World of Warcraft. The ' is a task, here is what you must do, you done the task, here is where go to get your reward, here your reward, here your task' formula VERY soothing to me."
12,Hearthstone,5598,Neutral#Positive,original,0,His Biggest Gold Grubber yet and best game with Reno Jackson for using his new updated zero cost Gold hero saving power
12,Hearthstone,5598,Neutral#Positive,swap,1,His Biggest Reno Gold yet and best game with Grubber Jackson for using his new updated zero cost Gold hero saving power
12,Hearthstone,5598,Neutral#Positive,swap,2,His Biggest using Gold yet and best game with Reno Jackson for Grubber his new updated zero cost Gold hero saving power
12,Hearthstone,5598,Neutral#Positive,insert,1,His Biggest Gold Grubber yet and best game with Reno Au Jackson for using his new newfangled updated zero cost Gold hero saving power
12,Hearthstone,5598,Neutral#Positive,insert,2,His Biggest Gold Grubber yet and best game with Reno Jackson for victimisation using his new updated zero cost Gold nil hero saving power
12,Hearthstone,5598,Neutral#Positive,delete,1,Biggest Gold Grubber yet and best game with Reno for using new updated zero cost Gold hero saving power
12,Hearthstone,5598,Neutral#Positive,delete,2,His Biggest Gold yet and best with Reno Jackson for using his new updated zero cost hero saving power
13,WorldOfCraft,12486,Positive,original,0,The latest WarCraft Press Daily! paper.li/WarCraftPress/… Thanks to @Shadesogrey
13,WorldOfCraft,12486,Positive,swap,1,The latest WarCraft Press Daily! paper.WarCraftPress/li/… Thanks to @Shadesogrey
13,WorldOfCraft,12486,Positive,swap,2,The latest WarCraft Press paper! Daily.li/WarCraftPress/… Thanks to @Shadesogrey
13,WorldOfCraft,12486,Positive,insert,1,The latest WarCraft Press everyday Daily! paper.li/WarCraftPress/… Thanks to @Shadesogrey
13,WorldOfCraft,12486,Positive,insert,2,The tardy latest WarCraft Press Daily! paper.li/WarCraftPress/… Thanks to @Shadesogrey
13,WorldOfCraft,12486,Positive,delete,1,The WarCraft Press Daily! paper.li/WarCraftPress/… Thanks to @Shadesogrey
13,WorldOfCraft,12486,Positive,delete,2,The latest WarCraft Press Daily! paper.li//… Thanks to @Shadesogrey
14,Overwatch,9333,Negative,original,0,i immediately play overwatch again (bad)
14,Overwatch,9333,Negative,swap,1,again immediately play overwatch i (bad)
14,Overwatch,9333,Negative,swap,2,immediately i play overwatch again (bad)
14,Overwatch,9333,Negative,insert,1,i immediately play directly overwatch again (bad)
14,Overwatch,9333,Negative,insert,2,i immediately play overwatch iodine again (bad)
14,Overwatch,9333,Negative,delete,1,i play overwatch again (bad)
14,Overwatch,9333,Negative,delete,2,immediately play overwatch again (bad)
15,PlayStation5(PS5),9988,Negative,original,0,Huge water leak. I wonder how Sony will react now to this?
15,PlayStation5(PS5),9988,Negative,swap,1,Huge water leak. I this how Sony will react now to wonder?
15,PlayStation5(PS5),9988,Negative,swap,2,Huge water leak. I wonder how Sony will now react to this?
15,PlayStation5(PS5),9988,Negative,insert,1,Huge water leak. I wonder how Sony will react now to admiration this?
15,PlayStation5(PS5),9988,Negative,insert,2,huge Huge water leak. I wonder how Sony will react now to this?
15,PlayStation5(PS5),9988,Negative,delete,1,Huge water leak. I wonder how Sony react now to this?
15,PlayStation5(PS5),9988,Negative,delete,2,Huge water leak. I wonder how Sony will now to this?
16,Overwatch,9454,Negative,original,0,"Nerd Tweet: I'm really disappointed by @ PlayOverwatch, one of my favorite games I've played since day one. I feel that all they care about is sport. We finally have a new hero, cool, but another dps. 2 / 2 / 2 I can somehow come back. But let's switch open..."
16,Overwatch,9454,Negative,swap,1,"Nerd Tweet: I'm really disappointed by @ PlayOverwatch, one of new switch games I've played since day one. I feel that all have 2 about is sport. We finally they a my hero, cool, but another dps. care / 2 / 2 I can somehow come back. But let's favorite open..."
16,Overwatch,9454,Negative,swap,2,"Nerd Tweet: I'm really disappointed have @ PlayOverwatch, one of my favorite games I've But since day one. I switch that all they care about feel sport. We finally by a new hero, cool, but another dps. 2 / 2 / 2 I can somehow come back. played let's is open..."
16,Overwatch,9454,Negative,insert,1,"Nerd DP Tweet: I'm really disappointed II by @ PlayOverwatch, one of my favorite games I've played since day one. I feel that all they care about is sport. We finally have a new hero, cool, grind but another dps. 2 / 2 / 2 I can somehow come back. But let's switch Modern open..."
16,Overwatch,9454,Negative,insert,2,"Nerd Tweet: I'm really poise disappointed by @ PlayOverwatch, one of my favorite games I've played since day one. I feel that Day all they care about is sport. We finally have a new hero, punt cool, but another dps. 2 / 2 / 2 I can somehow come swot back. But let's switch open..."
16,Overwatch,9454,Negative,delete,1,"Nerd Tweet: I'm really disappointed @, one of my favorite games played since day one. I feel that they care about is sport. We finally have a new hero, cool, but another. 2 / 2 / 2 I can come back. let's switch open..."
16,Overwatch,9454,Negative,delete,2,"Nerd Tweet: I'm really disappointed by @ PlayOverwatch, one of my favorite games I've played since day one. I feel all care is sport. We finally have, cool, but another dps. 2 / / 2 I can somehow come back. But let's switch open..."
17,PlayStation5(PS5),9984,Neutral,original,0,Will<unk> be screaming “ hello it’s Jon champion with co co commentator Jim “ as what dey fuck?
17,PlayStation5(PS5),9984,Neutral,swap,1,Will<fuck> be screaming “ hello it’s Jon champion with co co commentator Jim “ as what dey unk?
17,PlayStation5(PS5),9984,Neutral,swap,2,Will<unk> hello screaming “ be it’s Jon champion with co co commentator Jim “ as what dey fuck?
17,PlayStation5(PS5),9984,Neutral,insert,1,Will<unk> be screaming “ hello IT it’s Jon champion with co co commentator Jim “ as what dey fuck?
17,PlayStation5(PS5),9984,Neutral,insert,2,Will<unk> be screaming “ hello it’s Jon know champion with co co commentator Jim “ as what dey fuck?
17,PlayStation5(PS5),9984,Neutral,delete,1,Will<unk> be screaming “ hello it’s Jon champion with co commentator Jim “ as dey fuck?
17,PlayStation5(PS5),9984,Neutral,delete,2,Will<unk> screaming “ hello it’s Jon with co co commentator Jim “ as what dey fuck?
18,Borderlands,2445,Positive,original,0,4 favorite games of all time. (thanks @317Slayer and @Drunk_Cookies!). . 1. Halo 2/3 can't pick. 2. Rocket League. 3. Kingdom Hearts 2. 4. Super Mario Bros All Stars (this was probably the first game I ever played). . @Demintele_Sway @DiscoSpider93 @Void_BWungus @LSTesports let’s see em!
18,Borderlands,2445,Positive,swap,1,4 favorite game of all time. (thanks @317Slayer and @LSTesports!). . 1. Halo 2/3 can't pick. games. Rocket League. 3. Kingdom Hearts 2. 4. Super Mario Bros All Stars (this was ever the first 2 I probably played). . @Demintele_Sway @DiscoSpider93 @Void_BWungus @Drunk_Cookies let’s see em!
18,Borderlands,2445,Positive,swap,2,All favorite 2 of all time. (thanks @317Slayer and @Drunk_Cookies!). . 1. Halo 2/3 can't pick. Kingdom. Rocket League. 3. 2 Hearts games. 4. Super Mario Bros first Stars (this was probably the 4 game I ever played). . @Demintele_Sway @DiscoSpider93 @Void_BWungus @LSTesports let’s see em!
18,Borderlands,2445,Positive,insert,1,4 favorite games of all time. (thanks @317Slayer III and @centre Drunk_Cookies!). . 1. Halo 2/3 can't pick. 2. Rocket League. 3. Kingdom Hearts 2. 4. Super Mario Bros All Stars (this was probably the first game I ever played). . @Demintele_Sway @DiscoSpider93 @Void_BWungus @LSTesports filling let’s see em!
18,Borderlands,2445,Positive,insert,2,4 favorite games of all time. (thanks @317Slayer and @Drunk_Cookies!). . 1. Halo 2/3 can't pick. 2. Rocket League. 3. Kingdom Hearts 2. 4. Super Mario Bros All Stars (this meter constitute was ii probably the run first game I ever played). . @Demintele_Sway @DiscoSpider93 @Void_BWungus @LSTesports let’s see em!
18,Borderlands,2445,Positive,delete,1,4 favorite games of all time. (thanks @317Slayer and @Drunk_Cookies!). . 1. Halo 2/3 can't pick. 2. Rocket League. 3. Hearts 2. 4. Mario Bros Stars (this was probably the first game I ever played). . @ @DiscoSpider93 @ @LSTesports let’ see em!
18,Borderlands,2445,Positive,delete,2,4 favorite of all time. (thanks @317Slayer and @Drunk_Cookies!). . 1. Halo 2/3 can't. 2. Rocket League. 3. Hearts 2. 4. Super Mario Bros Stars ( probably the first game I ever played). . @Demintele_Sway @DiscoSpider93 @Void_BWungus @LSTesports let’s see em!
19,NBA2K,8631,Negative,original,0,I like you how some @NBA2K_2KTV act like nothing wrong with that @NBA2K just keep selling this wack info.
19,NBA2K,8631,Negative,swap,1,I like you how some @NBA2K_2KTV act like nothing wrong with that @NBA2K wack keep selling this just info.
19,NBA2K,8631,Negative,swap,2,I like you how some @NBA2K_2KTV act like nothing wrong with that @keep just NBA2K selling this wack info.
19,NBA2K,8631,Negative,insert,1,I like you how some @NBA2K_2KTV act like nothing wrong untimely with that @NBA2K just keep selling this wack info.
19,NBA2K,8631,Negative,insert,2,I like you how some @NBA2K_2KTV act like nothing wrong with corresponding that @NBA2K just keep selling this wack info.
19,NBA2K,8631,Negative,delete,1,I like you how some @NBA2K_2KTV act like nothing wrong with @NBA2K just keep selling this wack.
19,NBA2K,8631,Negative,delete,2,I like you how @NBA2K_2KTV act like nothing wrong with that @NBA2K just keep selling wack info.
20,RedDeadRedemption(RDR),10481,Negative,original,0,One of the strangest things Red Dead Redement 2 has taught me (offline and online) is that there were banks and garbage cans everywhere in the old West.
20,RedDeadRedemption(RDR),10481,Negative,swap,1,cans of the that things Red Dead Redement 2 has taught me (offline and online) is strangest there were banks and garbage West everywhere in the old One.
20,RedDeadRedemption(RDR),10481,Negative,swap,2,that of the strangest things Red Dead Redement 2 has were me (offline and online) is One there taught banks and garbage cans everywhere in the old West.
20,RedDeadRedemption(RDR),10481,Negative,insert,1,One of the strangest birth things Red Dead Redement 2 has taught me (offline and online) is that there were banks Marxist and garbage cans everywhere in the old West.
20,RedDeadRedemption(RDR),10481,Negative,insert,2,One of the strangest things Red Dead Redement strange 2 has taught me (offline and online) is that there deuce were banks and garbage cans everywhere in the old West.
20,RedDeadRedemption(RDR),10481,Negative,delete,1,One of strangest Red Redement 2 has taught me (offline online) is that there were banks and garbage cans everywhere in the old West.
20,RedDeadRedemption(RDR),10481,Negative,delete,2,One of the strangest things Red Dead Redement 2 has taught me (offline online) that there were banks garbage cans everywhere in the West.
21,Microsoft,8208,Negative,original,0,RT vikatan:'Walking in India is the worst! 2-Microsoft to
21,Microsoft,8208,Negative,swap,1,RT vikatan:'2-Microsoft in India is the worst! Walking to
21,Microsoft,8208,Negative,swap,2,worst vikatan:'Walking in India is the RT! 2-Microsoft to
21,Microsoft,8208,Negative,insert,1,RT vikatan:'Walking in India is the walking worst! 2-Microsoft to
21,Microsoft,8208,Negative,insert,2,RT vikatan:'Walking in inwards India is the worst! 2-Microsoft to
21,Microsoft,8208,Negative,delete,1,RT vikatan:' in India is the worst! 2-Microsoft to
21,Microsoft,8208,Negative,delete,2,RT vikatan:'Walking in India the worst! 2-Microsoft to
22,RedDeadRedemption(RDR),10613,Irrelevant,original,0,Red Dead Redemption. . store.playstation.com/
22,RedDeadRedemption(RDR),10613,Irrelevant,swap,1,Red Dead playstation. . store.Redemption.com/
22,RedDeadRedemption(RDR),10613,Irrelevant,swap,2,Red store Redemption. . Dead.playstation.com/
22,RedDeadRedemption(RDR),10613,Irrelevant,insert,1,Red Dead Redemption. . redemption store.playstation.com/
22,RedDeadRedemption(RDR),10613,Irrelevant,insert,2,Red Dead stagnant Redemption. . store.playstation.com/
22,RedDeadRedemption(RDR),10613,Irrelevant,delete,1,Red Dead Redemption. . store..com/
22,RedDeadRedemption(RDR),10613,Irrelevant,delete,2,Red Dead Redemption. ..playstation.com/
23,NBA2K,8552,Positive,original,0,"@ NBA2K can I ask an episode also I have bought almost 2 million worth of vc, this is how much I love this game"
23,NBA2K,8552,Positive,swap,1,"@ NBA2K can I ask an episode also game 2 bought almost have million worth of vc, this is how much I love this I"
23,NBA2K,8552,Positive,swap,2,"@ NBA2K episode of ask an can also I have bought almost 2 million worth I vc, this is how much I love this game"
23,NBA2K,8552,Positive,insert,1,"@ NBA2K can I ask an episode also I Worth have bought almost 2 million worth of vc, this is how much I love suffer this game"
23,NBA2K,8552,Positive,insert,2,"@ NBA2K too can I ask an episode also I have bought almost 2 million worth of vc, this is how much I love lots this game"
23,NBA2K,8552,Positive,delete,1,"@ NBA2K I ask episode also have bought almost 2 million worth of vc, this is how much I love this game"
23,NBA2K,8552,Positive,delete,2,"@ NBA2K can I ask episode also I have bought almost 2 million worth of vc, is how much I love game"
24,Google,4462,Negative#Neutral,original,0,pause who the god uses microsoft word... what's the point for them...
24,Google,4462,Negative#Neutral,swap,1,microsoft who the god uses pause word... what's the point for them...
24,Google,4462,Negative#Neutral,swap,2,pause the the god uses microsoft word... what's who point for them...
24,Google,4462,Negative#Neutral,insert,1,pause who parole the god uses microsoft word... what's the point for them...
24,Google,4462,Negative#Neutral,insert,2,pause who the god uses microsoft Word word... what's the point for them...
24,Google,4462,Negative#Neutral,delete,1,pause who the god uses microsoft word... the point for them...
24,Google,4462,Negative#Neutral,delete,2,pause who the god uses microsoft word... what's point for them...
25,Battlefield,1457,Irrelevant#Negative,original,0,The ban for Battlefield 4 911 _ kbbbbbbb.com player was due to DETAILS: bf4db.com / player / ban / 513...
25,Battlefield,1457,Irrelevant#Negative,swap,1,The ban for Battlefield 4 911 _ kbbbbbbb.com player was due to bf4db: DETAILS.com / player / ban / 513...
25,Battlefield,1457,Irrelevant#Negative,swap,2,The ban for Battlefield 4 911 _ kbbbbbbb.player player was due to DETAILS: bf4db.com / com / ban / 513...
25,Battlefield,1457,Irrelevant#Negative,insert,1,The ban for BAN Battlefield 4 911 _ kbbbbbbb.com player was due to DETAILS: bf4db.com / player / ban / 513...
25,Battlefield,1457,Irrelevant#Negative,insert,2,The ban for Battlefield 4 911 _ kbbbbbbb.com player was due ostracise to DETAILS: bf4db.com / player / ban / 513...
25,Battlefield,1457,Irrelevant#Negative,delete,1,The ban for Battlefield 4 911 _ kbbbbbbb.com player due to DETAILS: bf4db.com / / ban / 513...
25,Battlefield,1457,Irrelevant#Negative,delete,2,The ban for Battlefield 4 _.com player was due to DETAILS: bf4db.com / player / ban / 513...
26,Borderlands,2654,Positive,original,0,4 Favorite Game Soundtracks:.. Doom. Doom. Doom. Doom forever
26,Borderlands,2654,Positive,swap,1,4 Favorite Soundtracks Game:.. Doom. Doom. Doom. Doom forever
26,Borderlands,2654,Positive,swap,2,Favorite 4 Game Soundtracks:.. Doom. Doom. Doom. Doom forever
26,Borderlands,2654,Positive,insert,1,4 Favorite Game Soundtracks:.. Doom. perpetually Doom. Doom. Doom forever
26,Borderlands,2654,Positive,insert,2,sentence 4 Favorite Game Soundtracks:.. Doom. Doom. Doom. Doom forever
26,Borderlands,2654,Positive,delete,1,4 Favorite Game Soundtracks:.. Doom.. Doom. Doom forever
26,Borderlands,2654,Positive,delete,2,Favorite Game Soundtracks:.. Doom. Doom. Doom. Doom forever
27,CallOfDuty,2027,Negative,original,0,niggas really out here tryna play me like I'm Call of Duty! I hate it here
27,CallOfDuty,2027,Negative,swap,1,niggas really out here tryna Call me like I'm play of Duty! I hate it here
27,CallOfDuty,2027,Negative,swap,2,niggas really out here tryna play me like I'm of Call Duty! I hate it here
27,CallOfDuty,2027,Negative,insert,1,niggas really out detest here tryna play me like I'm Call of Duty! I hate it here
27,CallOfDuty,2027,Negative,insert,2,niggas really out here tryna play me hither like I'm Call of Duty! I hate it here
27,CallOfDuty,2027,Negative,delete,1,niggas really out here tryna me like I'm of Duty! I hate it here
27,CallOfDuty,2027,Negative,delete,2,niggas really out here tryna play me like I'm Call Duty! I hate here
28,AssassinsCreed,938,Neutral,original,0,Well... it was kind of puzzling.
28,AssassinsCreed,938,Neutral,swap,1,of... it was kind Well puzzling.
28,AssassinsCreed,938,Neutral,swap,2,was... it Well kind of puzzling.
28,AssassinsCreed,938,Neutral,insert,1,Well... it was kind of follow puzzling.
28,AssassinsCreed,938,Neutral,insert,2,form Well... it was kind of puzzling.
28,AssassinsCreed,938,Neutral,delete,1,... it was kind of puzzling.
28,AssassinsCreed,938,Neutral,delete,2,Well... it kind of puzzling.
29,LeagueOfLegends,7491,Positive,original,0,"oh fuck I just realized... if a League of Legends Champion gets into smash, there's a relatively high chance it's Yasuo. FUCK"
29,LeagueOfLegends,7491,Positive,swap,1,"oh fuck a just realized... I if League of Legends Champion gets into smash, there's a relatively high chance it's Yasuo. FUCK"
29,LeagueOfLegends,7491,Positive,swap,2,"oh of I just realized... Champion a League fuck Legends if gets into smash, there's a relatively high chance it's Yasuo. FUCK"
29,LeagueOfLegends,7491,Positive,insert,1,"oh fuck I just realized... Ohio if a League of Legends Champion gets into smash, there's A a relatively high chance it's Yasuo. FUCK"
29,LeagueOfLegends,7491,Positive,insert,2,"oh fuck I just realized... if a amp League eminent of Legends Champion gets into smash, there's a relatively high chance it's Yasuo. FUCK"
29,LeagueOfLegends,7491,Positive,delete,1,"oh fuck I just realized... if a of Legends Champion gets smash, there's a relatively high it's Yasuo. FUCK"
29,LeagueOfLegends,7491,Positive,delete,2,"oh fuck just realized... if a League of Legends Champion gets into smash, there's a relatively high chance. FUCK"
30,TomClancysGhostRecon,10830,Neutral,original,0,Something went wrong.
30,TomClancysGhostRecon,10830,Neutral,swap,1,Something wrong went.
30,TomClancysGhostRecon,10830,Neutral,swap,2,went Something wrong.
30,TomClancysGhostRecon,10830,Neutral,insert,1,Something incorrect went wrong.
30,TomClancysGhostRecon,10830,Neutral,insert,2,rifle Something went wrong.
30,TomClancysGhostRecon,10830,Neutral,delete,1,Something wrong.
30,TomClancysGhostRecon,10830,Neutral,delete,2,went wrong.
31,Microsoft,8269,Irrelevant,original,0,I'm live on Twitch - watch me on twitch.tv / osg _ shotz
31,Microsoft,8269,Irrelevant,swap,1,I'm live on Twitch - watch me twitch on.tv / osg _ shotz
31,Microsoft,8269,Irrelevant,swap,2,I'm live on tv - watch me on twitch.Twitch / osg _ shotz
31,Microsoft,8269,Irrelevant,insert,1,I'm live on Twitch - watch me on twitch.populate tv / osg _ shotz
31,Microsoft,8269,Irrelevant,insert,2,learn I'm live on Twitch - watch me on twitch.tv / osg _ shotz
31,Microsoft,8269,Irrelevant,delete,1,I'm live on Twitch - me on twitch.tv / osg _ shotz
31,Microsoft,8269,Irrelevant,delete,2,I'm live on Twitch - watch me on twitch. / osg _ shotz
32,CallOfDutyBlackopsColdWar,1636,Irrelevant,original,0,The Best Decent Bot •. sniper prize for La @NioxSnipingYT •...
32,CallOfDutyBlackopsColdWar,1636,Irrelevant,swap,1,The Best Decent Bot •. sniper prize for NioxSnipingYT @La •...
32,CallOfDutyBlackopsColdWar,1636,Irrelevant,swap,2,The Decent Best Bot •. sniper prize for La @NioxSnipingYT •...
32,CallOfDutyBlackopsColdWar,1636,Irrelevant,insert,1,The Best Decent Bot •. lah sniper prize for La @NioxSnipingYT •...
32,CallOfDutyBlackopsColdWar,1636,Irrelevant,insert,2,The Best Decent Bot •. sniper prize for select La @NioxSnipingYT •...
32,CallOfDutyBlackopsColdWar,1636,Irrelevant,delete,1,Best Decent Bot •. sniper prize for La @NioxSnipingYT •...
32,CallOfDutyBlackopsColdWar,1636,Irrelevant,delete,2,The Best Bot •. sniper prize for La @NioxSnipingYT •...
33,HomeDepot,5805,Neutral#Positive,original,0,I miss the hot dog stands at Home Depot
33,HomeDepot,5805,Neutral#Positive,swap,1,I Depot the hot dog stands at Home miss
33,HomeDepot,5805,Neutral#Positive,swap,2,I miss at hot dog stands the Home Depot
33,HomeDepot,5805,Neutral#Positive,insert,1,I miss spicy the hot dog stands at Home Depot
33,HomeDepot,5805,Neutral#Positive,insert,2,I miss the home hot dog stands at Home Depot
33,HomeDepot,5805,Neutral#Positive,delete,1,I miss the dog stands at Home Depot
33,HomeDepot,5805,Neutral#Positive,delete,2,I miss the hot stands at Home Depot
34,Amazon,230,Positive,original,0,"Beautiful song. Powerful lyrics that more people should hear..  ""Furious Love"" by VERIDIA on Amazon Music. music.amazon.com/albums/B00IPBY…"
34,Amazon,230,Positive,swap,1,"Beautiful music. Powerful lyrics that song people should hear..  ""Furious Love"" by VERIDIA on Amazon Music. more.amazon.com/albums/B00IPBY…"
34,Amazon,230,Positive,swap,2,"Beautiful song. Powerful lyrics that more people should hear..  ""Furious Love"" by B00IPBY on Amazon Music. music.amazon.com/VERIDIA/albums…"
34,Amazon,230,Positive,insert,1,"Beautiful song. Powerful along beautiful lyrics that more people should hear..  ""Furious Love"" by VERIDIA on Amazon Music. music.amazon.com/albums/B00IPBY…"
34,Amazon,230,Positive,insert,2,"Beautiful song. medicine Powerful lyrics that more people should hear..  ""Furious Love"" by VERIDIA on Amazon Music. music.amazon.com/albums/along B00IPBY…"
34,Amazon,230,Positive,delete,1,"Beautiful song. Powerful lyrics that more people should hear..  "" Love"" by VERIDIA on Amazon. music.amazon.com//B00IPBY…"
34,Amazon,230,Positive,delete,2,"Beautiful song. Powerful lyrics that more people should hear..  ""Furious Love"" VERIDIA on Amazon Music. music.amazon.com//…"
35,Fortnite,6630,Positive,original,0,Great way to bring exposure to young up and new coming artists
35,Fortnite,6630,Positive,swap,1,Great way to bring exposure to young artists and new coming up
35,Fortnite,6630,Positive,swap,2,artists way to bring exposure to young up and new coming Great
35,Fortnite,6630,Positive,insert,1,Great way to bring exposure to young neat up and new coming artists
35,Fortnite,6630,Positive,insert,2,Great way to bring exposure to young up and new coming new artists
