id,label,00_raw,01_strip_entity_tag,02_unescape_html,03_remove_urls,04_remove_mentions,05_unwrap_hashtags,06_lowercase,07_expand_contractions,08_squash_elongation,09_strip_symbols,10_normalise_space,11_tokenized,12_numeric_dropped,13_stopwords_removed,14_lemmatized,15_short_dropped,cleaned_text
16,Negative,"Nerd Tweet: I'm really disappointed by @ PlayOverwatch, one of my favorite games I've played since day one. I feel that all they care about is sport. We finally have a new hero, cool, but another dps. 2 / 2 / 2 I can somehow come back. But let's switch open...","Nerd Tweet: I'm really disappointed by @ PlayOverwatch, one of my favorite games I've played since day one. I feel that all they care about is sport. We finally have a new hero, cool, but another dps. 2 / 2 / 2 I can somehow come back. But let's switch open...","Nerd Tweet: I'm really disappointed by @ PlayOverwatch, one of my favorite games I've played since day one. I feel that all they care about is sport. We finally have a new hero, cool, but another dps. 2 / 2 / 2 I can somehow come back. But let's switch open...","Nerd Tweet: I'm really disappointed by @ PlayOverwatch, one of my favorite games I've played since day one. I feel that all they care about is sport. We finally have a new hero, cool, but another dps. 2 / 2 / 2 I can somehow come back. But let's switch open...","Nerd Tweet: I'm really disappointed by  , one of my favorite games I've played since day one. I feel that all they care about is sport. We finally have a new hero, cool, but another dps. 2 / 2 / 2 I can somehow come back. But let's switch open...","Nerd Tweet: I'm really disappointed by  , one of my favorite games I've played since day one. I feel that all they care about is sport. We finally have a new hero, cool, but another dps. 2 / 2 / 2 I can somehow come back. But let's switch open...","nerd tweet: i'm really disappointed by  , one of my favorite games i've played since day one. i feel that all they care about is sport. we finally have a new hero, cool, but another dps. 2 / 2 / 2 i can somehow come back. but let's switch open...","nerd tweet: i am really disappointed by  , one of my favorite games i have played since day one. i feel that all they care about is sport. we finally have a new hero, cool, but another dps. 2 / 2 / 2 i can somehow come back. but let us switch open...","nerd tweet: i am really disappointed by  , one of my favorite games i have played since day one. i feel that all they care about is sport. we finally have a new hero, cool, but another dps. 2 / 2 / 2 i can somehow come back. but let us switch open..",nerd tweet  i am really disappointed by    one of my favorite games i have played since day one  i feel that all they care about is sport  we finally have a new hero  cool  but another dps  2   2   2 i can somehow come back  but let us switch open  ,nerd tweet i am really disappointed by one of my favorite games i have played since day one i feel that all they care about is sport we finally have a new hero cool but another dps 2 2 2 i can somehow come back but let us switch open,nerd tweet i am really disappointed by one of my favorite games i have played since day one i feel that all they care about is sport we finally have a new hero cool but another dps 2 2 2 i can somehow come back but let us switch open,nerd tweet i am really disappointed by one of my favorite games i have played since day one i feel that all they care about is sport we finally have a new hero cool but another dps i can somehow come back but let us switch open,nerd tweet really disappointed one favorite games played since day one feel care sport finally new hero cool but another dps somehow come back but let us switch open,nerd tweet really disappointed one favorite game play since day one feel care sport finally new hero cool but another dp somehow come back but let u switch open,nerd tweet really disappointed one favorite game play since day one feel care sport finally new hero cool but another dp somehow come back but let switch open,nerd tweet really disappointed one favorite game play since day one feel care sport finally new hero cool but another dp somehow come back but let switch open
17,Neutral,Will<unk> be screaming “ hello it’s Jon champion with co co commentator Jim “ as what dey fuck?,Will<unk> be screaming “ hello it’s Jon champion with co co commentator Jim “ as what dey fuck?,Will<unk> be screaming “ hello it’s Jon champion with co co commentator Jim “ as what dey fuck?,Will<unk> be screaming “ hello it’s Jon champion with co co commentator Jim “ as what dey fuck?,Will<unk> be screaming “ hello it’s Jon champion with co co commentator Jim “ as what dey fuck?,Will<unk> be screaming “ hello it’s Jon champion with co co commentator Jim “ as what dey fuck?,will<unk> be screaming “ hello it’s jon champion with co co commentator jim “ as what dey fuck?,will<unk> be screaming “ hello it is jon champion with co co commentator jim “ as what dey fuck?,will<unk> be screaming “ hello it is jon champion with co co commentator jim “ as what dey fuck?,will unk  be screaming   hello it is jon champion with co co commentator jim   as what dey fuck ,will unk be screaming hello it is jon champion with co co commentator jim as what dey fuck,will unk be screaming hello it is jon champion with co co commentator jim as what dey fuck,will unk be screaming hello it is jon champion with co co commentator jim as what dey fuck,unk screaming hello jon champion co co commentator jim dey fuck,unk scream hello jon champion co co commentator jim dey fuck,unk scream hello jon champion co co commentator jim dey fuck,unk scream hello jon champion co co commentator jim dey fuck
18,Positive,4 favorite games of all time. (thanks @317Slayer and @Drunk_Cookies!). . 1. Halo 2/3 can't pick. 2. Rocket League. 3. Kingdom Hearts 2. 4. Super Mario Bros All Stars (this was probably the first game I ever played). . @Demintele_Sway @DiscoSpider93 @Void_BWungus @LSTesports let’s see em!,4 favorite games of all time. (thanks @317Slayer and @Drunk_Cookies!). . 1. Halo 2/3 can't pick. 2. Rocket League. 3. Kingdom Hearts 2. 4. Super Mario Bros All Stars (this was probably the first game I ever played). . @Demintele_Sway @DiscoSpider93 @Void_BWungus @LSTesports let’s see em!,4 favorite games of all time. (thanks @317Slayer and @Drunk_Cookies!). . 1. Halo 2/3 can't pick. 2. Rocket League. 3. Kingdom Hearts 2. 4. Super Mario Bros All Stars (this was probably the first game I ever played). . @Demintele_Sway @DiscoSpider93 @Void_BWungus @LSTesports let’s see em!,4 favorite games of all time. (thanks @317Slayer and @Drunk_Cookies!). . 1. Halo 2/3 can't pick. 2. Rocket League. 3. Kingdom Hearts 2. 4. Super Mario Bros All Stars (this was probably the first game I ever played). . @Demintele_Sway @DiscoSpider93 @Void_BWungus @LSTesports let’s see em!,4 favorite games of all time. (thanks   and  !). . 1. Halo 2/3 can't pick. 2. Rocket League. 3. Kingdom Hearts 2. 4. Super Mario Bros All Stars (this was probably the first game I ever played). .         let’s see em!,4 favorite games of all time. (thanks   and  !). . 1. Halo 2/3 can't pick. 2. Rocket League. 3. Kingdom Hearts 2. 4. Super Mario Bros All Stars (this was probably the first game I ever played). .         let’s see em!,4 favorite games of all time. (thanks   and  !). . 1. halo 2/3 can't pick. 2. rocket league. 3. kingdom hearts 2. 4. super mario bros all stars (this was probably the first game i ever played). .         let’s see em!,4 favorite games of all time. (thanks   and  !). . 1. halo 2/3 cannot pick. 2. rocket league. 3. kingdom hearts 2. 4. super mario bros all stars (this was probably the first game i ever played). .         let us see them!,4 favorite games of all time. (thanks  and  !). . 1. halo 2/3 cannot pick. 2. rocket league. 3. kingdom hearts 2. 4. super mario bros all stars (this was probably the first game i ever played). .  let us see them!,4 favorite games of all time   thanks  and        1  halo 2 3 cannot pick  2  rocket league  3  kingdom hearts 2  4  super mario bros all stars  this was probably the first game i ever played      let us see them ,4 favorite games of all time thanks and 1 halo 2 3 cannot pick 2 rocket league 3 kingdom hearts 2 4 super mario bros all stars this was probably the first game i ever played let us see them,4 favorite games of all time thanks and 1 halo 2 3 cannot pick 2 rocket league 3 kingdom hearts 2 4 super mario bros all stars this was probably the first game i ever played let us see them,favorite games of all time thanks and halo cannot pick rocket league kingdom hearts super mario bros all stars this was probably the first game i ever played let us see them,favorite games time thanks halo cannot pick rocket league kingdom hearts super mario bros stars probably first game ever played let us see,favorite game time thanks halo cannot pick rocket league kingdom heart super mario bros stars probably first game ever play let u see,favorite game time thanks halo cannot pick rocket league kingdom heart super mario bros stars probably first game ever play let see,favorite game time thanks halo cannot pick rocket league kingdom heart super mario bros stars probably first game ever play let see
19,Negative,I like you how some @NBA2K_2KTV act like nothing wrong with that @NBA2K just keep selling this wack info.,I like you how some @NBA2K_2KTV act like nothing wrong with that @NBA2K just keep selling this wack info.,I like you how some @NBA2K_2KTV act like nothing wrong with that @NBA2K just keep selling this wack info.,I like you how some @NBA2K_2KTV act like nothing wrong with that @NBA2K just keep selling this wack info.,I like you how some   act like nothing wrong with that   just keep selling this wack info.,I like you how some   act like nothing wrong with that   just keep selling this wack info.,i like you how some   act like nothing wrong with that   just keep selling this wack info.,i like you how some   act like nothing wrong with that   just keep selling this wack info.,i like you how some  act like nothing wrong with that  just keep selling this wack info.,i like you how some  act like nothing wrong with that  just keep selling this wack info ,i like you how some act like nothing wrong with that just keep selling this wack info,i like you how some act like nothing wrong with that just keep selling this wack info,i like you how some act like nothing wrong with that just keep selling this wack info,like act like nothing wrong keep selling wack info,like act like nothing wrong keep sell wack info,like act like nothing wrong keep sell wack info,like act like nothing wrong keep sell wack info
20,Negative,One of the strangest things Red Dead Redement 2 has taught me (offline and online) is that there were banks and garbage cans everywhere in the old West.,One of the strangest things Red Dead Redement 2 has taught me (offline and online) is that there were banks and garbage cans everywhere in the old West.,One of the strangest things Red Dead Redement 2 has taught me (offline and online) is that there were banks and garbage cans everywhere in the old West.,One of the strangest things Red Dead Redement 2 has taught me (offline and online) is that there were banks and garbage cans everywhere in the old West.,One of the strangest things Red Dead Redement 2 has taught me (offline and online) is that there were banks and garbage cans everywhere in the old West.,One of the strangest things Red Dead Redement 2 has taught me (offline and online) is that there were banks and garbage cans everywhere in the old West.,one of the strangest things red dead redement 2 has taught me (offline and online) is that there were banks and garbage cans everywhere in the old west.,one of the strangest things red dead redement 2 has taught me (offline and online) is that there were banks and garbage cans everywhere in the old west.,one of the strangest things red dead redement 2 has taught me (offline and online) is that there were banks and garbage cans everywhere in the old west.,one of the strangest things red dead redement 2 has taught me  offline and online  is that there were banks and garbage cans everywhere in the old west ,one of the strangest things red dead redement 2 has taught me offline and online is that there were banks and garbage cans everywhere in the old west,one of the strangest things red dead redement 2 has taught me offline and online is that there were banks and garbage cans everywhere in the old west,one of the strangest things red dead redement has taught me offline and online is that there were banks and garbage cans everywhere in the old west,one strangest things red dead redement taught offline online banks garbage cans everywhere old west,one strange thing red dead redement teach offline online bank garbage can everywhere old west,one strange thing red dead redement teach offline online bank garbage can everywhere old west,one strange thing red dead redement teach offline online bank garbage can everywhere old west
21,Negative,RT vikatan:'Walking in India is the worst! 2-Microsoft to,RT vikatan:'Walking in India is the worst! 2-Microsoft to,RT vikatan:'Walking in India is the worst! 2-Microsoft to,RT vikatan:'Walking in India is the worst! 2-Microsoft to,RT vikatan:'Walking in India is the worst! 2-Microsoft to,RT vikatan:'Walking in India is the worst! 2-Microsoft to,rt vikatan:'walking in india is the worst! 2-microsoft to,rt vikatan:'walking in india is the worst! 2-microsoft to,rt vikatan:'walking in india is the worst! 2-microsoft to,rt vikatan  walking in india is the worst  2 microsoft to,rt vikatan walking in india is the worst 2 microsoft to,rt vikatan walking in india is the worst 2 microsoft to,rt vikatan walking in india is the worst microsoft to,vikatan walking india worst microsoft,vikatan walk india bad microsoft,vikatan walk india bad microsoft,vikatan walk india bad microsoft
22,Irrelevant,Red Dead Redemption. . store.playstation.com/,Red Dead Redemption. . store.playstation.com/,Red Dead Redemption. . store.playstation.com/,Red Dead Redemption. .  /,Red Dead Redemption. .  /,Red Dead Redemption. .  /,red dead redemption. .  /,red dead redemption. .  /,red dead redemption. .  /,red dead redemption      ,red dead redemption,red dead redemption,red dead redemption,red dead redemption,red dead redemption,red dead redemption,red dead redemption
23,Positive,"@ NBA2K can I ask an episode also I have bought almost 2 million worth of vc, this is how much I love this game","@ NBA2K can I ask an episode also I have bought almost 2 million worth of vc, this is how much I love this game","@ NBA2K can I ask an episode also I have bought almost 2 million worth of vc, this is how much I love this game","@ NBA2K can I ask an episode also I have bought almost 2 million worth of vc, this is how much I love this game","  can I ask an episode also I have bought almost 2 million worth of vc, this is how much I love this game","  can I ask an episode also I have bought almost 2 million worth of vc, this is how much I love this game","  can i ask an episode also i have bought almost 2 million worth of vc, this is how much i love this game","  can i ask an episode also i have bought almost 2 million worth of vc, this is how much i love this game","  can i ask an episode also i have bought almost 2 million worth of vc, this is how much i love this game",  can i ask an episode also i have bought almost 2 million worth of vc  this is how much i love this game,can i ask an episode also i have bought almost 2 million worth of vc this is how much i love this game,can i ask an episode also i have bought almost 2 million worth of vc this is how much i love this game,can i ask an episode also i have bought almost million worth of vc this is how much i love this game,ask episode also bought almost million worth vc much love game,ask episode also buy almost million worth vc much love game,ask episode also buy almost million worth vc much love game,ask episode also buy almost million worth vc much love game
24,Negative#Neutral,pause who the god uses microsoft word... what's the point for them...,pause who the god uses microsoft word... what's the point for them...,pause who the god uses microsoft word... what's the point for them...,pause who the god uses microsoft word... what's the point for them...,pause who the god uses microsoft word... what's the point for them...,pause who the god uses microsoft word... what's the point for them...,pause who the god uses microsoft word... what's the point for them...,pause who the god uses microsoft word... what is the point for them...,pause who the god uses microsoft word.. what is the point for them..,pause who the god uses microsoft word   what is the point for them  ,pause who the god uses microsoft word what is the point for them,pause who the god uses microsoft word what is the point for them,pause who the god uses microsoft word what is the point for them,pause god uses microsoft word point,pause god use microsoft word point,pause god use microsoft word point,pause god use microsoft word point
25,Irrelevant#Negative,The ban for Battlefield 4 911 _ kbbbbbbb.com player was due to DETAILS: bf4db.com / player / ban / 513...,The ban for Battlefield 4 911 _ kbbbbbbb.com player was due to DETAILS: bf4db.com / player / ban / 513...,The ban for Battlefield 4 911 _ kbbbbbbb.com player was due to DETAILS: bf4db.com / player / ban / 513...,The ban for Battlefield 4 911 _   player was due to DETAILS:   / ban / 513...,The ban for Battlefield 4 911 _   player was due to DETAILS:   / ban / 513...,The ban for Battlefield 4 911 _   player was due to DETAILS:   / ban / 513...,the ban for battlefield 4 911 _   player was due to details:   / ban / 513...,the ban for battlefield 4 911 _   player was due to details:   / ban / 513...,the ban for battlefield 4 911 _  player was due to details:  / ban / 513..,the ban for battlefield 4 911    player was due to details     ban   513  ,the ban for battlefield 4 911 player was due to details ban 513,the ban for battlefield 4 911 player was due to details ban 513,the ban for battlefield player was due to details ban,ban battlefield player due details ban,ban battlefield player due details ban,ban battlefield player due details ban,ban battlefield player due details ban
26,Positive,4 Favorite Game Soundtracks:.. Doom. Doom. Doom. Doom forever,4 Favorite Game Soundtracks:.. Doom. Doom. Doom. Doom forever,4 Favorite Game Soundtracks:.. Doom. Doom. Doom. Doom forever,4 Favorite Game Soundtracks:.. Doom. Doom. Doom. Doom forever,4 Favorite Game Soundtracks:.. Doom. Doom. Doom. Doom forever,4 Favorite Game Soundtracks:.. Doom. Doom. Doom. Doom forever,4 favorite game soundtracks:.. doom. doom. doom. doom forever,4 favorite game soundtracks:.. doom. doom. doom. doom forever,4 favorite game soundtracks:.. doom. doom. doom. doom forever,4 favorite game soundtracks    doom  doom  doom  doom forever,4 favorite game soundtracks doom doom doom doom forever,4 favorite game soundtracks doom doom doom doom forever,favorite game soundtracks doom doom doom doom forever,favorite game soundtracks doom doom doom doom forever,favorite game soundtracks doom doom doom doom forever,favorite game soundtracks doom doom doom doom forever,favorite game soundtracks doom doom doom doom forever
27,Negative,niggas really out here tryna play me like I'm Call of Duty! I hate it here,niggas really out here tryna play me like I'm Call of Duty! I hate it here,niggas really out here tryna play me like I'm Call of Duty! I hate it here,niggas really out here tryna play me like I'm Call of Duty! I hate it here,niggas really out here tryna play me like I'm Call of Duty! I hate it here,niggas really out here tryna play me like I'm Call of Duty! I hate it here,niggas really out here tryna play me like i'm call of duty! i hate it here,niggas really out here tryna play me like i am call of duty! i hate it here,niggas really out here tryna play me like i am call of duty! i hate it here,niggas really out here tryna play me like i am call of duty  i hate it here,niggas really out here tryna play me like i am call of duty i hate it here,niggas really out here tryna play me like i am call of duty i hate it here,niggas really out here tryna play me like i am call of duty i hate it here,niggas really tryna play like call duty hate,nigga really tryna play like call duty hate,nigga really tryna play like call duty hate,nigga really tryna play like call duty hate
